TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:11676	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:13121	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:13122	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:13360	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:15357	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:17855	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:20775	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:23972	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:242341	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:319554	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:66234	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:74205	2	ER-alpha
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:100678	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:101502	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:104759	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:110074	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:110175	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14537	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14594	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:16848	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:16956	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:171212	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18103	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:18718	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:20440	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:21391	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:227620	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:233549	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:234779	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:270084	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:270198	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:56174	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:56369	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:56454	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:58250	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66401	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66566	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:66775	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:67305	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:67689	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:71911	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:71934	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:72054	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:74559	3	Ets
TF-layer	name	V$ETS_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:94181	3	Ets
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:110639	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:12319	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:12686	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:12763	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:12870	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:13109	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:13110	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:13119	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:13124	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:14377	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:14537	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:18585	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:18805	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:209558	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:212898	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:22238	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:22262	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:227095	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:228550	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:234515	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:23831	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:239122	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:23923	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:240549	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:241062	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:266645	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:27053	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:27400	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:404195	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:54326	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:54371	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:56388	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:60596	-2	FOXO1A
TF-layer	name	V$FOXO1_08	Enzyme-layer	KEGG_REACTION_GENE	mmu:67092	-2	FOXO1A
